"id","location","number","id_city"
214,ALGUMA RUA,S/N,5324
223,ALGUMA RUA,"780",502
224,ALGUMA RUA,"100",384
228,ALGUMA RUA,S/N,726
216,ALGUMA RUA,S/N,4396
220,ALGUMA RUA,SEM NUMERO,3096
226,ALGUMA RUA,"80",502
232,ALGUMA RUA,"61",377
234,ALGUMA RUA,"672",268
229,ALGUMA RUA,"3399",4009
230,ALGUMA RUA,"213",3095
236,ALGUMA RUA,"802",5324
237,ALGUMA RUA,"1969",5324
241,ALGUMA RUA,"20",4290
251,ALGUMA RUA,"10989",3858
252,ALGUMA RUA,"748",4945
254,ALGUMA RUA,"100",3445
255,ALGUMA RUA,"8245",5336
259,ALGUMA RUA,"705",2470
261,ALGUMA RUA,"432",3957
262,ALGUMA RUA,"116",3253
263,ALGUMA RUA,"1531",5415
264,ALGUMA RUA,"215",664
265,ALGUMA RUA,SEM NUMERO,3085
268,ALGUMA RUA,"1250",5324
269,ALGUMA RUA,"590",3342
271,ALGUMA RUA,"990",3729
3755,ALGUMA RUA,"20",3168
3784,ALGUMA RUA,"65",2574
314,ALGUMA RUA,s/n,5240
315,ALGUMA RUA,s/n,237
316,ALGUMA RUA,s/n,5263
317,ALGUMA RUA,s/n,237
323,ALGUMA RUA,"215",664
324,ALGUMA RUA,"247",913
334,ALGUMA RUA,SEM NUMERO,3096
402,ALGUMA RUA,S/N,2822
352,ALGUMA RUA,,237
282,ALGUMA RUA,"466",3683
284,ALGUMA RUA,"721",4738
311,ALGUMA RUA,"95",5324
301,ALGUMA RUA,"464",3706
313,ALGUMA RUA,"600",3271
298,ALGUMA RUA,"1325",5324
308,ALGUMA RUA,"218",3098
309,ALGUMA RUA,SN,5422
310,ALGUMA RUA,S/N,5324
320,ALGUMA RUA,S/N,5549
336,ALGUMA RUA,SN,3686
337,ALGUMA RUA,,3096
338,ALGUMA RUA,"4320",5475
339,ALGUMA RUA,"719",5324
340,ALGUMA RUA,"508",2090
341,ALGUMA RUA,s/n,5598
342,ALGUMA RUA,"780",502
343,ALGUMA RUA,S/N,443
344,ALGUMA RUA,"252",913
319,ALGUMA RUA,"280",5410
322,ALGUMA RUA,"58",377
325,ALGUMA RUA,SN,237
327,ALGUMA RUA,"377",5549
350,ALGUMA RUA,"388",5324
348,ALGUMA RUA,"192",292
294,ALGUMA RUA,SNR,5367
296,ALGUMA RUA,SN,5212
346,ALGUMA RUA,S/N,472
329,ALGUMA RUA,"70",4782
330,ALGUMA RUA,"222",4408
333,ALGUMA RUA,"15324",4009
335,ALGUMA RUA,s/n,5163
266,ALGUMA RUA,"22031",3095
321,ALGUMA RUA,S/N,3327
273,ALGUMA RUA,"169",4197
274,ALGUMA RUA,"159",3899
275,ALGUMA RUA,"294",3381
276,ALGUMA RUA,SN,4338
277,ALGUMA RUA,"590",3096
278,ALGUMA RUA,"5815",3195
279,ALGUMA RUA,"815",3879
280,ALGUMA RUA,"540",5208
281,ALGUMA RUA,S/N,5370
285,ALGUMA RUA,"46",4792
286,ALGUMA RUA,"609",3858
287,ALGUMA RUA,"888",3508
288,ALGUMA RUA,"3432",5227
289,ALGUMA RUA,S/N,5324
290,ALGUMA RUA,SN,4358
291,ALGUMA RUA,SN,5370
292,ALGUMA RUA,"790",3095
293,ALGUMA RUA,"1325",5324
295,ALGUMA RUA,"100",4215
297,ALGUMA RUA,"4201",5310
299,ALGUMA RUA,S/N,3814
300,ALGUMA RUA,"22450",3095
303,ALGUMA RUA,"403",4034
304,ALGUMA RUA,"5150",4476
305,ALGUMA RUA,"1001",3096
306,ALGUMA RUA,SEM NUMERO,2462
307,ALGUMA RUA,"665",3729
326,ALGUMA RUA,"7168",4149
331,ALGUMA RUA,"230",3098
332,ALGUMA RUA,"4001",4449
345,ALGUMA RUA,"1195",3858
349,ALGUMA RUA,SEM NUMERO,3096
452,ALGUMA RUA,"200",3404
3756,ALGUMA RUA,,4475
3757,ALGUMA RUA,"450",4012
370,ALGUMA RUA,"835",3400
380,ALGUMA RUA,SEM NUMERO,2458
