"id","id_offer","id_address_from","id_address_to","amount","budgeted_value"
46329,35686,156683,156684,26.4000,139.68
46125,35577,155351,155352,10000.0000,220.00
46341,35692,156707,156708,25.2000,239.72
46055,35518,154652,154653,28700.0000,130.00
46309,35666,156625,156626,1500.0000,290.00
46363,35700,156800,156801,87.3600,95.00
46094,35551,155093,155094,114.8700,80.00
46047,35510,154616,154617,16000.0000,140.00
46297,35654,156516,156517,3000.0000,100.00
46065,35528,154830,154831,1500.0000,63.52
46249,35607,155729,155730,10800.0000,220.00
46136,35588,155425,155426,500.0000,25.00
46378,35713,157102,157103,600.0000,112.00
46120,35572,155311,155312,440.3400,100.00
46134,35586,155415,155416,2677.0000,130.00
46070,35533,154939,154940,429.6000,225.00
46130,35582,155377,155378,32.0000,122.92
46043,35506,154602,154603,56800.0000,135.00
46133,35585,155383,155384,900.0000,170.00
46076,35539,154995,154996,1200.0000,75.00
46307,35664,156617,156618,230.0000,85.00
46274,35632,156347,156348,1800.0000,200.00
46045,35508,154608,154609,5000.0000,190.00
46093,35550,155091,155092,114.8700,80.00
46369,35706,156824,156825,250.0000,58.00
46141,35593,155459,155460,26.4000,153.03
46054,35517,154648,154649,360.0000,1.00
46059,35522,154708,154709,41300.0000,145.00
46248,35606,155727,155728,2000.0000,108.00
46107,35560,155189,155190,11200.0000,120.00
46119,35571,155307,155308,300.0000,92.00
46124,35576,155347,155348,750.0000,245.00
46073,35536,154971,154972,1000.0000,130.00
46092,35549,155087,155088,432.6000,150.00
46104,35557,155173,155174,28.8000,153.03
46168,35599,155513,155514,1.2100,153.03
46169,35599,155515,155516,0.0500,153.03
46170,35599,155517,155518,1.2100,153.03
46171,35599,155519,155520,0.0100,153.03
46172,35599,155521,155522,0.0500,153.03
46173,35599,155523,155524,1.2100,153.03
46174,35599,155525,155526,0.0100,153.03
46175,35599,155527,155528,0.0100,153.03
46176,35599,155529,155530,0.1000,153.03
46177,35599,155531,155532,1.2100,153.03
46178,35599,155533,155534,0.0500,153.03
46179,35599,155535,155536,0.0500,153.03
46180,35599,155537,155538,0.1000,153.03
46181,35599,155539,155540,1.2100,153.03
46182,35599,155541,155542,0.1000,153.03
46183,35599,155543,155544,0.0500,153.03
46184,35599,155545,155546,0.1000,153.03
46185,35599,155547,155548,1.2100,153.03
46186,35599,155549,155550,0.0500,153.03
46187,35599,155551,155552,0.0500,153.03
46188,35599,155553,155554,0.0500,153.03
46189,35599,155555,155556,2.4200,153.03
46190,35599,155557,155558,0.1500,153.03
46191,35599,155559,155560,0.1000,153.03
46192,35599,155561,155562,0.2500,153.03
46289,35646,156480,156481,720.0000,1.00
